%DataLog%,,,,,,,,,,,,,,,,,,,
DataLogVersion : 1.0,,,,,,,,,,,,,,,,,,,
Software : ECU Manager,,,,,,,,,,,,,,,,,,,
SoftwareVersion : 1.1.14.0,,,,,,,,,,,,,,,,,,,
DownloadDateTime : 20180713 09:12:09,,,,,,,,,,,,,,,,,,,
Channel : BaseFuel,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 2000,0,,,,,,,,,,,,,,,,,,
Channel : BaseIgnition,,,,,,,,,,,,,,,,,,,
Type : AngleIgnSprt2K,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 800,0,,,,,,,,,,,,,,,,,,
Channel : TargetAFR,,,,,,,,,,,,,,,,,,,
Type : AFR,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 2000,200,,,,,,,,,,,,,,,,,,
Channel : FuelCoolantTempCorrection,,,,,,,,,,,,,,,,,,,
Type : Percentage1For1,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 250,-100,,,,,,,,,,,,,,,,,,
Channel : FuelAirTempCorrection,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 500,-500,,,,,,,,,,,,,,,,,,
Channel : ThrottlePosition,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1000,0,,,,,,,,,,,,,,,,,,
Channel : AirTemp,,,,,,,,,,,,,,,,,,,
Type : Temperature,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 4231,2331,,,,,,,,,,,,,,,,,,
Channel : CoolantTemp,,,,,,,,,,,,,,,,,,,
Type : Temperature,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 4231,2331,,,,,,,,,,,,,,,,,,
Channel : LambdaSensor1,,,,,,,,,,,,,,,,,,,
Type : AFR,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 2000,200,,,,,,,,,,,,,,,,,,
Channel : RPM,,,,,,,,,,,,,,,,,,,
Type : EngineSpeed,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 10000,0,,,,,,,,,,,,,,,,,,
Channel : Load,,,,,,,,,,,,,,,,,,,
Type : Pressure,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1013,13,,,,,,,,,,,,,,,,,,
Channel : BatteryVoltage,,,,,,,,,,,,,,,,,,,
Type : BatteryVoltage,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 16000,8000,,,,,,,,,,,,,,,,,,
Channel : EngineRunningTime,,,,,,,,,,,,,,,,,,,
Type : Time_s,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 10000,0,,,,,,,,,,,,,,,,,,
Channel : DeltaLoad,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1000,-1000,,,,,,,,,,,,,,,,,,
Channel : MAPSource,,,,,,,,,,,,,,,,,,,
Type : Pressure,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1013,13,,,,,,,,,,,,,,,,,,
Channel : TransientThrottleLoadSource,,,,,,,,,,,,,,,,,,,
