%DataLog%,,,,,,,,,,,,,,,,,,,,,,,,,,
DataLogVersion : 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Software : ECU Manager,,,,,,,,,,,,,,,,,,,,,,,,,,
SoftwareVersion : 1.1.14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DownloadDateTime : 20180717 08:12:19,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : AFRDifference,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : AFR,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 150,-150,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : BatteryVoltage,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : BatteryVoltage,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 16000,8000,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : EngineRunningTime,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Time_s,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 10000,0,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : IgnitionTiming,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Angle,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 600,-200,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : CurrentDutyCycle,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1000,0,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : Load,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1013,13,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : IgnitionLoad,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1013,13,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : ShiftLight1,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Raw,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : AirTemp,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 4231,2331,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : CoolantTemp,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 4231,2331,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : MAPSource,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1013,13,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : LambdaSensor1,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : AFR,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 2000,200,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : ThrottlePosition,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 1000,0,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : BaseFuel,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 2000,0,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : BaseIgnition,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : AngleIgnSprt2K,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 800,0,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : TargetAFR,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : AFR,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 2000,200,,,,,,,,,,,,,,,,,,,,,,,,,
Channel : FuelAirTempCorrection,,,,,,,,,,,,,,,,,,,,,,,,,,
Type : Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
DisplayMaxMin : 500,-500,,,,,,,,,,,,,,,,,,,,,,,,,
